local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.675864696502686
15.9,0.0,9.112499999999999,8.30175302894334,17.41425302894334,0.0,0.6625,17.41425302894334,13.6,0.9,0.0,20.675864696502686
13.3,13.6,0.0,2.727063043159188,2.727063043159188,34.0375,1.1888888888888887,3.067438043159188,6.2,0.0,5.9,20.675864696502686
22.2,13.9,12.5,4.6248440928205055,17.124844092820506,30.675000000000008,1.64375,17.431594092820507,10.9,1.0,6.0,20.675864696502686
24.0,18.8,12.5,4.090145049434063,16.590145049434064,31.5,2.0283333333333333,16.905145049434065,7.1,1.0,6.0,20.675864696502686
25.6,19.9,12.5,4.066241980354941,16.566241980354942,27.587500000000002,2.322222222222222,16.84211698035494,9.5,1.0,5.9,20.675864696502686
25.3,23.5,12.5,2.0173926008899046,14.517392600889904,28.274999999999995,2.5714285714285716,14.800142600889904,6.0,1.0,6.0,20.675864696502686
28.4,23.5,25.0,4.946653363720642,29.946653363720642,28.712499999999995,2.790625,30.233778363720642,7.9,2.0,5.9,20.675864696502686
30.0,25.5,25.0,3.080726060609511,28.08072606060951,29.249999999999993,2.9944444444444445,28.37322606060951,6.9,2.0,6.0,20.675864696502686
33.7,26.4,12.5,4.674858012628092,17.174858012628093,32.4125,3.1958333333333337,17.49898301262809,7.4,1.0,6.1,20.675864696502686
38.7,27.7,12.5,7.609096069469351,20.109096069469352,31.075000000000003,3.4083333333333337,20.41984606946935,13.6,1.0,6.2,20.675864696502686
31.3,35.1,25.0,0.7977285791678285,25.797728579167828,29.4875,3.585416666666667,26.09260357916783,2.2,2.0,6.1,20.675864696502686
40.2,31.2,12.5,5.722149810325605,18.222149810325604,27.450000000000003,3.7673076923076927,18.496649810325604,10.4,1.0,6.0,20.675864696502686
39.8,35.6,12.5,4.412852971135628,16.912852971135628,27.137500000000003,3.9470238095238095,17.184227971135627,10.5,1.0,5.9,20.675864696502686
38.2,40.2,12.5,2.452204952908202,14.952204952908202,29.4875,4.119444444444445,15.247079952908202,6.0,1.0,6.1,20.675864696502686
44.0,40.1,12.5,2.232040933203886,14.732040933203887,26.3125,4.300000000000001,14.995165933203888,6.7,1.0,5.9,20.675864696502686
47.4,40.9,25.0,5.169397674223487,30.169397674223486,26.3125,4.479901960784314,30.432522674223485,11.8,2.0,5.9,20.675864696502686
41.2,46.8,25.0,2.20122096312261,27.20122096312261,27.900000000000002,4.638425925925925,27.48022096312261,3.6,2.0,6.0,20.675864696502686
49.3,44.4,25.0,3.9281357956725595,28.92813579567256,26.3125,4.805263157894737,29.19126079567256,7.5,2.0,5.9,20.675864696502686
52.4,46.0,75.0,8.748740892375464,83.74874089237547,27.449999999999996,4.975,84.02324089237547,11.3,6.0,6.0,20.675864696502686
44.4,51.3,0.0,2.9373943296469074,2.9373943296469074,30.4625,5.117857142857143,3.2420193296469075,7.2,0.0,6.1,20.675864696502686
46.1,52.4,0.0,1.2899404046890512,1.2899404046890512,27.137500000000003,5.258333333333333,1.5613154046890512,4.8,0.0,5.9,20.675864696502686
52.6,51.3,37.5,4.777747673253312,42.277747673253316,27.900000000000002,5.406159420289855,42.55674767325332,6.4,3.0,6.0,20.675864696502686
54.3,51.7,25.0,3.0575764075460388,28.057576407546037,29.4875,5.548958333333333,28.352451407546038,5.7,2.0,6.1,20.675864696502686
57.9,51.3,37.5,4.494926863013384,41.99492686301338,27.449999999999996,5.691000000000001,42.269426863013386,11.0,3.0,6.0,20.675864696502686
53.2,56.3,0.0,2.0261395538628135,2.0261395538628135,27.900000000000002,5.823076923076923,2.3051395538628134,4.6,0.0,6.0,20.675864696502686
59.9,54.9,25.0,3.080061979883864,28.080061979883865,25.862499999999994,5.961728395061729,28.338686979883864,9.2,2.0,5.9,20.675864696502686
61.1,58.2,87.50000000000001,10.199806683030118,97.69980668303013,26.3125,6.103869047619047,97.96293168303013,15.6,7.0,5.9,20.675864696502686
50.4,67.9,12.5,2.0623992250454117,14.56239922504541,32.575,6.2333333333333325,14.88814922504541,5.9,1.0,6.2,20.675864696502686
56.2,67.6,25.0,2.233247188648275,27.233247188648274,28.35,6.369444444444445,27.516747188648274,7.2,2.0,6.0,20.675864696502686
58.9,68.8,25.0,1.6977469118042925,26.69774691180429,27.90000000000001,6.5072580645161295,26.97674691180429,4.1,2.0,6.0,20.675864696502686
