local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.973560094833374
12.4,0.0,12.6,3.0089689311483765,15.608968931148375,0.0,0.5166666666666667,15.608968931148375,8.4,1.2,0.0,39.973560094833374
18.7,8.4,12.5,3.1611626044082284,15.66116260440823,43.35000000000001,1.097222222222222,16.094662604408228,7.6,1.0,6.0,39.973560094833374
19.0,10.0,12.5,2.373794002943647,14.873794002943647,37.487500000000004,1.4270833333333335,15.248669002943647,8.1,1.0,5.9,39.973560094833374
21.7,12.2,11.8125,3.2766837541829017,15.089183754182901,29.175,1.7066666666666666,15.380933754182902,9.5,1.5,6.0,39.973560094833374
17.6,15.7,1.5625,1.4595343094003084,3.0220343094003086,31.712500000000006,1.8847222222222222,3.3391593094003085,4.9,0.5,5.9,39.973560094833374
25.8,14.7,0.0,3.267371133906843,3.267371133906843,31.9375,2.0976190476190473,3.586746133906843,7.6,0.0,5.9,39.973560094833374
31.1,16.4,0.0,3.9748029659418855,3.9748029659418855,29.625,2.330208333333333,4.271052965941886,9.1,0.0,6.0,39.973560094833374
29.0,19.5,12.5,2.411304991062112,14.911304991062112,28.712500000000002,2.52037037037037,15.198429991062111,8.9,1.0,5.9,39.973560094833374
33.0,22.5,0.0,3.0087867636274868,3.0087867636274868,31.2,2.7308333333333334,3.3207867636274866,6.9,0.0,6.0,39.973560094833374
35.4,23.4,12.5,3.4014803054673295,15.901480305467329,28.037500000000005,2.9280303030303028,16.18185530546733,9.2,1.0,5.9,39.973560094833374
40.0,26.7,25.0,4.218324586369725,29.218324586369725,28.787499999999998,3.147222222222222,29.506199586369725,8.4,2.0,5.9,39.973560094833374
42.6,29.2,12.5,3.67777908334908,16.17777908334908,29.937500000000004,3.3653846153846154,16.47715408334908,7.7,1.0,6.1,39.973560094833374
50.1,30.8,12.5,5.940371200738083,18.440371200738085,30.312500000000007,3.606547619047619,18.743496200738086,9.2,1.0,6.1,39.973560094833374
53.5,33.9,12.5,5.009306494854571,17.50930649485457,30.312500000000007,3.8516666666666666,17.81243149485457,10.0,1.0,6.1,39.973560094833374
57.9,37.8,25.0,6.2911642685264875,31.291164268526487,29.487500000000004,4.109374999999999,31.586039268526488,10.6,2.0,6.1,39.973560094833374
57.3,42.3,0.0,4.3956852797994745,4.3956852797994745,27.90000000000001,4.355882352941177,4.6746852797994745,9.1,0.0,6.0,39.973560094833374
