local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.75532484054565
8.7,0.0,2.8,2.7713827393210066,5.571382739321006,0.0,0.54375,5.571382739321006,7.3,1.4,0.0,123.75532484054565
7.0,7.3,0.0,0.8651808048388745,0.8651808048388745,75.8125,0.9583333333333334,1.6233058048388744,3.6,0.0,5.9,123.75532484054565
10.5,5.0,0.10000000000000002,3.3720553165856604,3.4720553165856605,25.662499999999998,1.203125,3.7286803165856606,7.8,0.2,4.9,123.75532484054565
12.8,7.9,2.8000000000000003,4.052810118762,6.852810118762001,54.82499999999999,1.48,7.401060118762,7.1,0.8,6.0,123.75532484054565
12.3,9.0,0.0,2.900662394420093,2.900662394420093,46.449999999999996,1.6770833333333333,3.3651623944200932,5.2,0.0,5.6,123.75532484054565
18.5,8.6,0.0,6.200328908850077,6.200328908850077,27.6625,1.9214285714285713,6.476953908850077,9.6,0.0,5.9,123.75532484054565
14.2,12.3,0.0,2.4619417494475657,2.4619417494475657,31.125000000000004,2.0953125,2.773191749447566,6.4,0.0,6.0,123.75532484054565
15.8,12.7,0.33749999999999997,2.773001902907219,3.110501902907219,28.6375,2.2583333333333337,3.396876902907219,6.8,0.3,5.9,123.75532484054565
17.7,13.6,0.0,3.084957186212488,3.084957186212488,29.937500000000004,2.42375,3.3843321862124878,7.4,0.0,6.1,123.75532484054565
18.5,14.9,0.0,3.002949020740823,3.002949020740823,28.725,2.5829545454545455,3.2901990207408227,6.6,0.0,6.0,123.75532484054565
21.0,15.5,0.0,2.965736713563375,2.965736713563375,29.7,2.7479166666666663,3.2627367135633754,9.3,0.0,6.0,123.75532484054565
20.0,18.8,0.0,1.928365312904666,1.928365312904666,26.762499999999996,2.9096153846153845,2.195990312904666,4.4,0.0,5.9,123.75532484054565
24.7,17.3,0.0,4.277027282987561,4.277027282987561,30.762500000000003,3.0767857142857142,4.584652282987561,9.2,0.0,6.1,123.75532484054565
22.6,20.4,0.0,2.16270657105104,2.16270657105104,29.4875,3.2300000000000004,2.4575815710510396,5.2,0.0,6.1,123.75532484054565
24.1,19.5,0.0,3.188004959821921,3.188004959821921,27.137500000000003,3.36875,3.459379959821921,7.1,0.0,5.9,123.75532484054565
25.4,20.7,0.0,3.9551440209261206,3.9551440209261206,26.762499999999996,3.5095588235294115,4.222769020926121,7.1,0.0,5.9,123.75532484054565
27.5,21.9,0.0,3.0535711927560514,3.0535711927560514,26.45,3.6576388888888887,3.3180711927560513,6.0,0.0,5.8,123.75532484054565
30.9,22.1,0.0,4.808276667157248,4.808276667157248,27.5875,3.813815789473685,5.084151667157248,7.9,0.0,5.9,123.75532484054565
28.3,24.1,0.0,2.752487030457462,2.752487030457462,28.35,3.950625,3.035987030457462,6.6,0.0,6.0,123.75532484054565
29.1,24.7,0.0,3.1824713714310793,3.1824713714310793,27.450000000000003,4.082738095238095,3.4569713714310795,7.1,0.0,6.0,123.75532484054565
30.0,25.8,0.0,2.5301025373720645,2.5301025373720645,27.900000000000002,4.214204545454545,2.8091025373720644,7.1,0.0,6.0,123.75532484054565
30.9,26.9,0.0,3.010986835721271,3.010986835721271,29.4875,4.345108695652174,3.305861835721271,6.1,0.0,6.1,123.75532484054565
32.5,26.9,0.0,4.280127946069597,4.280127946069597,26.762499999999996,4.4734375,4.547752946069597,7.0,0.0,5.9,123.75532484054565
35.3,28.0,0.0,4.518586733466841,4.518586733466841,26.3125,4.611,4.781711733466841,9.1,0.0,5.9,123.75532484054565
34.8,31.2,0.0,2.385105138532741,2.385105138532741,27.449999999999996,4.750961538461538,2.659605138532741,7.2,0.0,6.0,123.75532484054565
37.6,32.4,0.0,3.114597046964022,3.114597046964022,26.3125,4.899074074074075,3.377722046964022,7.0,0.0,5.9,123.75532484054565
39.6,33.5,0.0,3.2695319988376434,3.2695319988376434,29.4875,5.050446428571428,3.5644069988376437,7.2,0.0,6.1,123.75532484054565
40.6,34.6,0.0,3.5627471014507353,3.5627471014507353,29.4875,5.200431034482759,3.857622101450735,8.9,0.0,6.1,123.75532484054565
43.4,37.4,87.50000000000001,7.383334581489617,94.88333458148963,30.624999999999996,5.36375,95.18958458148964,12.2,7.0,6.2,123.75532484054565
33.7,43.4,0.0,3.4044314118473613,3.4044314118473613,30.299999999999997,5.501612903225806,3.7074314118473612,6.3,0.0,6.0,123.75532484054565
35.3,43.7,0.0,1.5495898541827318,1.5495898541827318,28.562499999999996,5.63828125,1.8352148541827318,3.3,0.0,5.9,123.75532484054565
37.5,41.1,0.0,2.2204422481960333,2.2204422481960333,26.762499999999996,5.765151515151516,2.488067248196033,4.6,0.0,5.9,123.75532484054565
41.8,39.8,87.50000000000001,4.91479776060115,92.41479776060116,27.900000000000002,5.895588235294118,92.69379776060116,11.7,7.0,6.0,123.75532484054565
29.3,45.5,0.8000000000000002,1.7361282496189099,2.53612824961891,27.737499999999994,5.994285714285715,2.8135032496189103,4.1,0.4,5.9,123.75532484054565
29.7,43.7,0.0,1.0765512924158414,1.0765512924158414,26.762499999999996,6.082638888888889,1.3441762924158414,3.1,0.0,5.9,123.75532484054565
34.3,40.9,0.0,2.128467616951724,2.128467616951724,25.624999999999996,6.1722972972972965,2.384717616951724,4.2,0.0,5.8,123.75532484054565
40.8,39.3,12.5,3.033273881819808,15.533273881819808,29.037499999999998,6.273355263157894,15.823648881819807,8.0,1.0,6.1,123.75532484054565
38.9,41.2,25.0,0.4934586399478338,25.493458639947832,29.037499999999994,6.36923076923077,25.783833639947833,1.4,2.0,6.1,123.75532484054565
44.9,36.5,100.0,3.797221055047431,103.79722105504743,26.3125,6.4643749999999995,104.06034605504743,11.1,8.0,5.9,123.75532484054565
33.3,41.7,0.0,4.867405903421021,4.867405903421021,32.5625,6.5353658536585355,5.193030903421021,9.9,0.0,6.1,123.75532484054565
30.4,45.5,0.0,0.7616625553862185,0.7616625553862185,27.737499999999994,6.605654761904762,1.0390375553862183,2.2,0.0,5.9,123.75532484054565
35.6,41.8,12.5,2.287143068455988,14.787143068455988,26.974999999999998,6.67703488372093,15.056893068455988,5.9,1.0,5.8,123.75532484054565
34.4,41.9,0.0,1.1959479371928707,1.1959479371928707,28.1125,6.742045454545455,1.4770729371928708,4.2,0.0,5.9,123.75532484054565
39.2,40.2,12.5,2.1487372182577467,14.648737218257747,29.7,6.812777777777778,14.945737218257747,5.0,1.0,6.0,123.75532484054565
39.8,39.2,12.5,1.7751811450839867,14.275181145083987,27.900000000000002,6.879347826086956,14.554181145083987,4.6,1.0,6.0,123.75532484054565
41.8,37.8,12.5,3.3885736070376566,15.888573607037657,27.900000000000002,6.944680851063829,16.167573607037657,7.4,1.0,6.0,123.75532484054565
41.4,39.2,12.5,1.5200409800373946,14.020040980037395,28.5875,7.009895833333333,14.305915980037396,4.7,1.0,6.1,123.75532484054565
42.5,37.8,25.0,3.981349239100999,28.981349239101,29.4875,7.071683673469389,29.276224239101,9.4,2.0,6.1,123.75532484054565
36.3,41.1,0.0,0.24753642484851168,0.24753642484851168,25.862499999999994,7.123749999999999,0.5061614248485116,1.6,0.0,5.9,123.75532484054565
43.4,36.8,99.99999999999997,3.2284678816119765,103.22846788161195,26.999999999999996,7.180637254901962,103.49846788161194,10.4,8.0,6.0,123.75532484054565
31.5,41.2,0.8000000000000002,2.8659701009436573,3.6659701009436576,29.849999999999998,7.217307692307692,3.9644701009436574,6.3,0.4,6.0,123.75532484054565
32.3,41.5,0.0,1.9015798156746682,1.9015798156746682,30.225,7.2551886792452835,2.203829815674668,3.8,0.0,6.0,123.75532484054565
38.2,39.3,12.5,3.9242084852003223,16.42420848520032,29.849999999999998,7.300231481481482,16.72270848520032,6.9,1.0,6.0,123.75532484054565
37.6,40.2,12.5,1.2842319202464976,13.784231920246498,29.037499999999998,7.344318181818181,14.074606920246497,4.4,1.0,6.1,123.75532484054565
38.7,38.5,12.5,2.385741114401592,14.885741114401592,28.35,7.385491071428571,15.169241114401592,5.9,1.0,6.0,123.75532484054565
40.2,38.4,0.0,2.146499650407988,2.146499650407988,29.037499999999994,7.428289473684211,2.436874650407988,5.7,0.0,6.1,123.75532484054565
44.0,38.0,99.99999999999997,2.8784921924145968,102.87849219241457,25.862499999999994,7.476939655172414,103.13711719241456,10.5,8.0,5.9,123.75532484054565
34.5,42.6,0.0,3.40345535236079,3.40345535236079,32.56249999999999,7.513559322033897,3.72908035236079,7.3,0.0,6.1,123.75532484054565
36.4,43.8,0.0,2.167695827928446,2.167695827928446,31.9625,7.555416666666668,2.4873208279284458,5.3,0.0,6.1,123.75532484054565
39.3,43.0,0.0,2.38235072224154,2.38235072224154,27.737499999999994,7.600204918032787,2.6597257222415402,4.4,0.0,5.9,123.75532484054565
42.3,41.5,12.5,2.720548823062985,15.220548823062984,30.3875,7.646572580645161,15.524423823062984,5.5,1.0,6.1,123.75532484054565
43.5,40.9,100.0,4.074878796309055,104.07487879630905,25.175,7.692658730158731,104.32662879630905,10.4,8.0,5.8,123.75532484054565
33.6,45.5,1.5625,3.1021753487706296,4.664675348770629,32.24999999999999,7.726953125,4.987175348770629,6.8,0.5,6.0,123.75532484054565
33.9,46.3,0.0,0.6667844057575288,0.6667844057575288,28.875,7.762307692307692,0.9555344057575288,2.7,0.0,6.0,123.75532484054565
40.2,43.0,0.0,2.376795465580426,2.376795465580426,28.875,7.802272727272727,2.665545465580426,5.3,0.0,6.0,123.75532484054565
40.0,42.3,0.0,2.1967199420864203,2.1967199420864203,31.15,7.839365671641792,2.5082199420864204,4.7,0.0,6.2,123.75532484054565
44.6,40.8,87.50000000000001,5.693721627806907,93.19372162780692,27.900000000000002,7.881066176470587,93.47272162780692,10.8,7.0,6.0,123.75532484054565
33.1,45.6,0.0,1.9268218390760556,1.9268218390760556,29.325,7.909420289855072,2.2200718390760557,2.9,0.0,6.0,123.75532484054565
