local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
11.2,0.0,0.08750000000000001,0.211014570098152,0.298514570098152,0.0,0.9333333333333332,0.298514570098152,4.5,0.7,0.0,58.91358017921448
18.4,4.5,0.012500000000000002,0.2276343443464439,0.2401343443464439,0.125,1.4208333333333332,0.2526343443464439,3.3,0.1,0.4,58.91358017921448
28.9,7.4,1.2750000000000001,0.660054733603249,1.935054733603249,0.5375,1.9555555555555553,1.988804733603249,7.0,1.8,1.3,58.91358017921448
31.2,13.1,2.225,0.6401713082352543,2.8651713082352543,2.1,2.3895833333333334,3.0751713082352543,7.7,2.2,1.8,58.91358017921448
35.2,19.0,0.10000000000000002,0.9109595816780626,1.0109595816780625,5.0125,2.815,1.5122095816780625,6.3,0.2,2.9,58.91358017921448
40.4,22.4,0.0,1.2222182922718636,1.2222182922718636,10.475,3.218055555555556,2.2697182922718637,7.5,0.0,4.0,58.91358017921448
43.8,25.9,0.0,1.8977563327969398,1.8977563327969398,18.337500000000002,3.5880952380952387,3.7315063327969398,9.0,0.0,5.1,58.91358017921448
47.1,29.8,0.0,2.549587472175029,2.549587472175029,30.462500000000002,3.940625,5.595837472175029,9.5,0.0,6.1,58.91358017921448
49.5,33.2,0.0,3.5770316843324164,3.5770316843324164,45.050000000000004,4.268518518518518,8.082031684332417,9.6,0.0,7.0,58.91358017921448
50.9,35.8,0.0,4.044264542649624,4.044264542649624,63.087500000000006,4.564166666666667,10.353014542649625,10.3,0.0,7.9,58.91358017921448
52.7,38.2,0.0,5.401922476472921,5.401922476472921,87.05,4.837878787878788,14.10692247647292,10.0,0.0,8.8,58.91358017921448
55.7,39.4,0.0,6.5112841361191345,6.5112841361191345,109.5625,5.095138888888889,17.467534136119134,10.1,0.0,9.5,58.91358017921448
58.7,40.0,0.0,7.174132499010191,7.174132499010191,147.3375,5.3358974358974365,21.907882499010192,11.3,0.0,10.5,58.91358017921448
56.8,40.8,0.0,8.708324748851055,8.708324748851055,169.75,5.535714285714286,25.683324748851057,11.5,0.0,11.0,58.91358017921448
55.5,41.3,0.0,9.234368742314247,9.234368742314247,197.94999999999996,5.704444444444445,29.029368742314247,11.9,0.0,11.6,58.91358017921448
56.1,41.6,0.0,10.548288151536015,10.548288151536015,241.32499999999996,5.856770833333333,34.680788151536014,13.0,0.0,12.4,58.91358017921448
55.5,42.2,0.0,11.1393621657493,11.1393621657493,292.27500000000003,5.991176470588234,40.36686216574931,11.9,0.0,13.2,58.91358017921448
56.4,40.9,0.0,12.68613111687367,12.68613111687367,304.0,6.108796296296296,43.08613111687367,11.6,0.0,13.4,58.91358017921448
56.5,39.1,0.0,13.15273522982698,13.15273522982698,370.8625,6.206578947368421,50.23898522982698,12.5,0.0,14.3,58.91358017921448
56.8,37.3,0.0,15.166493316418988,15.166493316418988,384.6125,6.288333333333334,53.62774331641899,13.5,0.0,14.5,58.91358017921448
55.2,36.3,62.5,19.598922249157777,82.09892224915778,384.6125,6.351984126984127,120.56017224915779,14.9,5.0,14.5,58.91358017921448
46.7,36.7,75.0,18.302742520634553,93.30274252063455,387.76250000000005,6.379166666666666,132.07899252063456,15.7,6.0,14.5,58.91358017921448
36.4,37.9,59.1125,18.592078738494312,77.7045787384943,355.37500000000006,6.371014492753624,113.24207873849431,15.2,4.9,14.0,58.91358017921448
26.6,39.1,0.0,14.385953622749284,14.385953622749284,363.6,6.3336805555555555,50.74595362274929,13.3,0.0,13.2,58.91358017921448
23.9,39.2,9.112499999999999,14.657819683932624,23.770319683932623,385.20000000000005,6.290666666666667,62.29031968393264,12.2,0.9,14.4,58.91358017921448
23.2,37.0,6.400000000000001,12.45151122508151,18.851511225081513,383.1625,6.241666666666666,57.16776122508152,13.2,0.8,14.3,58.91358017921448
20.7,35.9,4.2875000000000005,13.960063392549287,18.24756339254929,400.82500000000005,6.185185185185185,58.3300633925493,12.5,0.7,14.6,58.91358017921448
19.5,33.8,0.8000000000000002,13.838647087647576,14.638647087647577,400.82500000000005,6.122916666666667,54.72114708764759,11.9,0.4,14.6,58.91358017921448
17.5,31.1,64.29999999999998,7.128876311579478,71.42887631157946,371.225,6.051436781609196,108.55137631157946,10.5,6.2,14.2,58.91358017921448
12.8,27.4,0.0,11.912809428536965,11.912809428536965,314.36249999999995,5.961388888888889,43.34905942853696,11.6,0.0,11.7,58.91358017921448
12.7,27.3,0.0,11.240134196279708,11.240134196279708,342.57500000000005,5.876612903225807,45.49763419627972,12.5,0.0,13.6,58.91358017921448
13.0,26.2,6.400000000000001,12.052437107887036,18.452437107887036,350.70000000000005,5.795052083333333,53.52243710788704,11.4,0.8,13.8,58.91358017921448
11.6,23.8,0.0,9.540587174867868,9.540587174867868,325.3625,5.708838383838384,42.07683717486787,10.6,0.0,13.3,58.91358017921448
12.4,21.1,8.575000000000001,9.206604573947025,17.78160457394703,293.77500000000003,5.6230392156862745,47.15910457394703,10.4,1.4,12.6,58.91358017921448
13.3,18.9,12.800000000000002,9.031056601871692,21.831056601871694,330.52500000000003,5.539047619047619,54.883556601871696,10.8,1.6,12.6,58.91358017921448
12.0,17.1,0.8000000000000002,10.759450639447595,11.559450639447595,299.5,5.452546296296297,41.5094506394476,10.8,0.4,12.2,58.91358017921448
12.6,15.7,0.0,11.658088099874472,11.658088099874472,248.325,5.368918918918919,36.49058809987447,11.1,0.0,12.0,58.91358017921448
12.9,14.8,0.0,9.346182200462131,9.346182200462131,220.51250000000002,5.288377192982456,31.397432200462134,11.5,0.0,11.5,58.91358017921448
14.3,14.8,0.0,16.35989974120985,16.35989974120985,253.9125,5.214957264957265,41.75114974120985,12.5,0.0,12.3,58.91358017921448
12.3,15.0,4.2875000000000005,7.77651764627635,12.064017646276351,273.3125,5.1414583333333335,39.39526764627635,11.1,0.7,12.7,58.91358017921448
12.8,13.4,4.2875000000000005,9.771241216271873,14.058741216271873,273.69999999999993,5.069308943089431,41.42874121627187,11.3,0.7,11.6,58.91358017921448
13.5,13.1,2.6999999999999997,10.112017186743177,12.812017186743176,244.93749999999997,5.001388888888889,37.305767186743175,11.6,0.6,11.3,58.91358017921448
14.6,13.4,0.0,14.761185228568618,14.761185228568618,274.8375,4.939341085271318,42.24493522856862,12.9,0.0,11.7,58.91358017921448
14.4,14.6,0.0,15.077225628732016,15.077225628732016,299.3125,4.882007575757575,45.008475628732015,12.0,0.0,13.1,58.91358017921448
16.5,13.5,9.112499999999999,14.08176793429347,23.19426793429347,241.2875,4.829074074074074,47.323017934293475,13.0,0.9,12.1,58.91358017921448
14.3,14.4,2.6999999999999997,12.057288306434877,14.757288306434877,308.625,4.7760869565217385,45.61978830643488,11.1,0.6,12.6,58.91358017921448
15.0,12.9,10.687500000000002,12.532568480609521,23.220068480609523,225.26249999999996,4.723936170212767,45.74631848060952,11.9,1.5,11.1,58.91358017921448
14.6,13.7,0.0,12.992724592273142,12.992724592273142,270.675,4.674652777777778,40.060224592273144,11.9,0.0,10.8,58.91358017921448
16.2,14.8,0.0,14.413202551722364,14.413202551722364,232.06249999999997,4.631972789115647,37.61945255172236,13.0,0.0,12.1,58.91358017921448
13.9,15.7,0.0,9.176555266876024,9.176555266876024,300.37499999999994,4.588666666666667,39.21405526687602,11.2,0.0,13.2,58.91358017921448
14.4,13.7,4.2875000000000005,9.46003686415225,13.747536864152252,191.975,4.544607843137254,32.94503686415226,11.2,0.7,11.2,58.91358017921448
15.5,13.7,8.575000000000001,11.315852065136154,19.890852065136155,221.27499999999998,4.504006410256411,42.018352065136156,11.1,1.4,11.0,58.91358017921448
14.1,13.8,7.962500000000001,10.38849228034476,18.350992280344762,253.125,4.462893081761007,43.66349228034476,11.3,1.3,10.8,58.91358017921448
14.0,14.3,1.5625,12.504207139184595,14.066707139184595,245.3875,4.4239197530864205,38.605457139184594,11.7,0.5,10.7,58.91358017921448
14.3,15.3,6.400000000000001,10.270772594509223,16.670772594509224,251.19999999999996,4.388333333333334,41.79077259450922,11.3,0.8,11.6,58.91358017921448
14.5,15.0,0.0,11.492957579696142,11.492957579696142,266.98749999999995,4.353869047619048,38.19170757969614,12.3,0.0,11.9,58.91358017921448
13.5,15.4,0.0,8.279435257771182,8.279435257771182,254.44999999999996,4.319736842105263,33.72443525777118,11.7,0.0,12.4,58.91358017921448
13.0,14.7,2.6999999999999997,7.292903154480934,9.992903154480933,229.4875,4.285057471264368,32.94165315448094,11.2,0.6,11.9,58.91358017921448
12.8,14.0,4.2875000000000005,9.076712939503537,13.364212939503538,235.34999999999994,4.250282485875705,36.899212939503535,10.6,0.7,11.4,58.91358017921448
12.7,13.2,5.85,9.801880318861002,15.651880318861002,209.11249999999998,4.215416666666666,36.563130318861,11.1,1.2,10.9,58.91358017921448
13.8,13.4,0.0,10.346013406774038,10.346013406774038,260.175,4.183469945355191,36.36351340677404,11.5,0.0,10.8,58.91358017921448
14.7,14.1,0.0,12.616295212568506,12.616295212568506,218.2125,4.1547043010752684,34.43754521256851,12.1,0.0,11.7,58.91358017921448
16.1,14.5,10.687500000000002,11.077832623347081,21.765332623347085,272.8625,4.129232804232805,49.05158262334709,12.8,1.5,12.7,58.91358017921448
14.3,14.6,2.6999999999999997,10.645286177304657,13.345286177304656,303.075,4.102343750000001,43.652786177304655,12.1,0.6,11.4,58.91358017921448
