local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.363702058792114
6.9,0.0,0.009999999999999998,0.06882388865948352,0.07882388865948352,0.0,0.575,0.07882388865948352,2.3,0.2,0.0,16.363702058792114
10.8,2.3,0.03375000000000001,0.10571844880930964,0.13946844880930964,0.20125000000000004,1.1111111111111112,0.15959344880930965,2.6,0.3,1.7,16.363702058792114
13.4,3.2,0.3125,0.1406138206993967,0.4531138206993967,0.2700000000000001,1.525,0.48011382069939673,3.0,1.0,2.4,16.363702058792114
15.1,3.8,0.4262500000000001,0.16959051744756473,0.5958405174475648,0.29375,1.85,0.6252155174475649,3.6,1.1,2.5,16.363702058792114
15.0,4.9,0.23625,0.16019624978456382,0.3964462497845638,0.42374999999999996,2.094444444444444,0.43882124978456377,3.0,0.9,2.7,16.363702058792114
17.9,5.2,0.3125,0.2053778812988375,0.5178778812988375,0.4425,2.3452380952380953,0.5621278812988375,4.2,1.0,3.0,16.363702058792114
18.8,6.4,0.585,0.14479667896200962,0.7297966789620096,0.66375,2.5770833333333334,0.7961716789620096,2.1,1.2,3.3,16.363702058792114
21.7,5.2,0.6987500000000001,0.25943905404156314,0.9581890540415632,0.48874999999999996,2.7888888888888888,1.0070640540415632,4.6,1.3,3.1,16.363702058792114
21.1,6.7,0.6987500000000001,0.2579581731208699,0.95670817312087,0.7737500000000002,2.9733333333333336,1.03408317312087,4.9,1.3,3.7,16.363702058792114
19.7,7.9,0.42874999999999996,0.1653420229294117,0.5940920229294117,1.0474999999999999,3.1212121212121215,0.6988420229294117,4.3,0.7,4.0,16.363702058792114
20.5,8.2,0.4262500000000001,0.2099959620578178,0.6362459620578178,0.98875,3.259722222222222,0.7351209620578179,3.7,1.1,4.1,16.363702058792114
21.8,7.8,0.50875,0.24778137115988755,0.7565313711598876,0.86625,3.388461538461538,0.8431563711598875,5.1,1.1,3.9,16.363702058792114
22.8,9.0,0.15625,0.2307222599157305,0.3869722599157305,1.3162500000000001,3.525,0.5185972599157305,4.2,0.5,4.5,16.363702058792114
22.6,8.7,0.585,0.23061863166484783,0.8156186316648478,1.1725,3.637777777777778,0.9328686316648478,4.5,1.2,4.4,16.363702058792114
23.9,8.8,0.6987500000000001,0.2220521200538972,0.9208021200538973,1.08625,3.7510416666666666,1.0294271200538974,3.9,1.3,4.1,16.363702058792114
25.4,8.6,0.91,0.3008049252697255,1.2108049252697255,1.1925000000000001,3.863725490196078,1.3300549252697256,5.3,1.4,4.2,16.363702058792114
24.7,9.7,0.91,0.1996148384943618,1.1096148384943618,1.17875,3.967592592592593,1.2274898384943618,3.6,1.4,4.3,16.363702058792114
25.1,9.0,0.6987500000000001,0.1962617360319636,0.8950117360319637,1.1775,4.057894736842105,1.0127617360319636,2.9,1.3,4.2,16.363702058792114
26.5,7.7,0.6399999999999999,0.2708421997026077,0.9108421997026076,1.075,4.139999999999999,1.0183421997026076,4.5,0.8,3.8,16.363702058792114
28.6,8.4,0.0,0.30679738022157266,0.30679738022157266,1.1025,4.2365079365079366,0.41704738022157267,4.6,0.0,4.2,16.363702058792114
30.5,8.8,0.0,0.3168069048003166,0.3168069048003166,1.12625,4.341666666666667,0.42943190480031657,4.3,0.0,4.3,16.363702058792114
32.8,8.8,0.0,0.3461637817656236,0.3461637817656236,1.0125,4.4543478260869565,0.44741378176562363,4.4,0.0,4.2,16.363702058792114
34.3,9.0,0.0,0.3580546011731116,0.3580546011731116,1.1725000000000003,4.569444444444445,0.47530460117311163,5.2,0.0,4.4,16.363702058792114
35.1,9.8,0.0,0.3814356002453535,0.3814356002453535,1.21125,4.685999999999999,0.5025606002453535,4.2,0.0,4.5,16.363702058792114
37.8,9.5,0.0,0.40388301573026275,0.40388301573026275,1.21125,4.808974358974359,0.5250080157302628,4.0,0.0,4.5,16.363702058792114
39.2,9.0,0.0,0.4661658318824711,0.4661658318824711,1.1025,4.928395061728396,0.5764158318824711,5.7,0.0,4.2,16.363702058792114
39.0,10.5,0.0,0.43646941027532277,0.43646941027532277,1.40125,5.04702380952381,0.5765944102753228,6.0,0.0,4.7,16.363702058792114
39.4,11.8,0.0,0.4249889016604,0.4249889016604,1.675,5.167241379310345,0.5924889016604,4.9,0.0,5.0,16.363702058792114
40.6,11.7,0.0,0.44348166611552325,0.44348166611552325,1.675,5.285555555555556,0.6109816661155233,6.6,0.0,5.0,16.363702058792114
39.5,13.3,0.0,0.35509313058413944,0.35509313058413944,2.2137500000000006,5.398924731182796,0.5764681305841395,5.2,0.0,5.5,16.363702058792114
42.2,13.0,0.0,0.4541338621234834,0.4541338621234834,2.0237500000000006,5.517708333333333,0.6565088621234835,6.2,0.0,5.3,16.363702058792114
41.6,13.9,0.0,0.417934555449078,0.417934555449078,2.2137500000000006,5.630808080808081,0.6393095554490781,5.6,0.0,5.5,16.363702058792114
42.7,14.0,0.0,0.4499143708846781,0.4499143708846781,2.1,5.743137254901961,0.6599143708846782,5.9,0.0,5.4,16.363702058792114
43.0,14.5,0.0,0.42474589682998837,0.42474589682998837,2.16875,5.852857142857143,0.6416208968299884,6.3,0.0,5.5,16.363702058792114
42.1,15.3,0.0,0.3859435934600747,0.3859435934600747,2.5175,5.956018518518519,0.6376935934600747,3.9,0.0,5.8,16.363702058792114
