local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,3.2453793213256747,0.0,0.475,3.2453793213256747,7.6,0.0,0.0
6.9,7.6,6.005553794455273,92.58749999999999,0.9208333333333334,15.264303794455273,3.6,1.6,7.5
9.6,3.7,12.396226466568049,70.8875,1.10625,19.48497646656805,7.2,1.3,3.7
9.6,7.2,5.5476153979875145,154.01250000000002,1.3050000000000002,20.948865397987518,6.4,0.9,6.9
8.7,6.7,2.706145792606251,131.41250000000002,1.4083333333333334,15.847395792606253,6.5,0.8,6.1
8.9,7.1,1.5527665836266433,162.4375,1.4928571428571429,17.796516583626644,4.0,0.0,7.1
13.6,4.0,15.022226910012964,37.474999999999994,1.58125,18.769726910012963,10.6,0.8,4.0
9.6,10.6,4.1758357663629075,228.23750000000004,1.6861111111111111,26.999585766362912,5.8,0.8,10.3
9.9,6.1,23.066310428801444,109.71249999999999,1.7175,34.03756042880144,7.1,2.0,5.9
10.1,7.3,6.874628233711678,173.43750000000003,1.759090909090909,24.218378233711682,8.9,1.0,6.9
6.2,9.3,3.5162580890111728,251.2,1.7739583333333333,28.636258089011175,2.2,1.5,9.2
9.1,2.3,15.09582550301071,34.1125,1.7471153846153846,18.50707550301071,6.7,2.0,2.3
8.2,6.7,1.6036470134920657,114.08749999999998,1.7553571428571426,13.012397013492063,5.5,0.6,6.7
9.9,5.5,7.850658199902958,83.03750000000001,1.7666666666666668,16.15440819990296,6.6,1.0,5.5
8.1,6.6,3.057666023980132,152.53750000000002,1.77109375,18.311416023980136,6.5,0.1,6.5
6.8,6.6,5.2151831631929415,101.25,1.7654411764705884,15.340183163192942,4.6,1.0,6.6
12.8,4.6,25.621805869117807,74.8125,1.7881944444444442,33.10305586911781,8.6,2.3,4.5
11.3,8.7,20.563580639355024,224.425,1.825657894736842,43.00608063935503,7.6,2.4,8.6
6.8,7.7,2.387220715713441,159.08749999999998,1.825,18.295970715713437,3.6,1.0,7.3
9.9,4.0,4.127956896142958,27.35,1.8208333333333335,6.862956896142959,8.9,0.4,4.0
7.6,8.9,1.6889665004532042,129.3625,1.831818181818182,14.625216500453206,4.0,0.6,8.9
12.4,4.0,9.045655643121155,60.20000000000001,1.841304347826087,15.065655643121156,10.1,0.6,4.0
9.3,10.1,2.609039233560946,237.06250000000003,1.865625,26.31528923356095,5.1,0.4,10.1
12.8,5.1,10.155539006834822,105.5125,1.8805,20.706789006834825,10.6,1.0,4.7
8.3,11.0,2.577516399842238,339.425,1.9009615384615386,36.52001639984224,3.6,0.2,10.6
14.4,4.0,22.716526823197103,114.35000000000002,1.9157407407407407,34.1515268231971,10.9,1.3,4.0
10.0,10.9,8.637080565241543,367.25000000000006,1.9406250000000003,45.362080565241556,6.3,1.0,10.6
8.3,6.6,3.2188292936993412,246.525,1.9379310344827587,27.871329293699343,5.1,0.6,6.6
10.4,5.1,32.65362596485455,118.36250000000001,1.9379166666666667,44.48987596485455,7.1,3.0,4.9
7.4,7.3,2.3109325154424454,362.275,1.9346774193548388,38.538432515442445,4.0,1.1,6.8
9.7,4.5,5.592711566302421,92.06250000000001,1.9296875,14.798961566302424,6.8,0.1,4.5
11.1,6.8,6.264388966162304,149.125,1.9390151515151515,21.176888966162306,7.0,0.5,6.8
13.7,7.0,8.3808909425383,146.0,1.9580882352941178,22.980890942538302,8.5,0.5,7.0
