local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
6.5,0.0,0.05000000000000001,0.0821404886787127,0.1321404886787127,0.0,1.0833333333333335,0.1321404886787127,3.4,0.4,0.0,57.74685001373291
8.4,3.4,0.05000000000000001,0.1553964598221273,0.20539645982212731,0.0625,1.525,0.21164645982212732,4.4,0.4,0.5,57.74685001373291
9.9,7.3,0.07500000000000001,0.17801302020724225,0.25301302020724226,0.20000000000000004,1.972222222222222,0.2730130202072423,3.1,0.6,1.0,57.74685001373291
11.6,9.4,0.06250000000000001,0.1380515786149283,0.20055157861492834,0.5625,2.3541666666666665,0.25680157861492836,1.9,0.5,1.5,57.74685001373291
14.6,9.8,0.525,0.4150242612130839,0.9400242612130839,1.4375,2.6966666666666668,1.0837742612130838,5.5,1.2,1.9,57.74685001373291
14.4,13.4,0.21250000000000002,0.46164639952055214,0.6741463995205521,3.1625,3.0194444444444444,0.9903963995205521,5.9,0.5,2.5,57.74685001373291
14.5,16.8,0.10000000000000002,0.5164239628782431,0.6164239628782431,5.6375,3.3333333333333335,1.1801739628782433,5.1,0.2,3.1,57.74685001373291
14.3,18.8,0.35000000000000003,0.817967650106523,1.167967650106523,7.787500000000001,3.60625,1.9467176501065233,7.8,0.4,3.5,57.74685001373291
11.0,23.1,0.10000000000000002,0.5816420168163453,0.6816420168163453,10.799999999999999,3.8370370370370375,1.7616420168163451,6.5,0.2,4.2,57.74685001373291
10.4,25.4,0.0,0.679748076955238,0.679748076955238,17.575000000000003,4.05,2.437248076955238,6.2,0.0,5.0,57.74685001373291
9.2,26.6,0.775,0.7779633615954975,1.5529633615954976,20.2375,4.224242424242425,3.576713361595498,6.6,0.8,5.3,57.74685001373291
7.6,27.9,0.10000000000000002,0.6595281589850457,0.7595281589850457,25.625000000000004,4.365277777777778,3.322028158985046,6.4,0.2,5.8,57.74685001373291
5.7,28.5,0.0,0.7993029941754071,0.7993029941754071,31.6,4.467948717948718,3.959302994175407,5.3,0.0,6.2,57.74685001373291
6.4,27.6,0.0,0.8106210414360465,0.8106210414360465,33.1875,4.553571428571429,4.1293710414360465,6.4,0.0,6.3,57.74685001373291
6.2,27.7,0.0,0.9280333923721915,0.9280333923721915,37.5,4.626666666666667,4.678033392372192,6.0,0.0,6.6,57.74685001373291
6.0,27.1,0.0,0.8474803607620833,0.8474803607620833,45.425000000000004,4.682291666666666,5.389980360762084,6.0,0.0,7.0,57.74685001373291
7.4,26.1,0.33749999999999997,1.0901854209960296,1.4276854209960295,45.425000000000004,4.735294117647059,5.97018542099603,7.1,0.3,7.0,57.74685001373291
6.1,26.2,0.10000000000000002,0.6125900305926193,0.7125900305926193,43.3125,4.771296296296296,5.043840030592619,5.7,0.2,6.9,57.74685001373291
6.9,25.0,0.6749999999999999,0.9461669250581928,1.6211669250581928,42.3375,4.8,5.854916925058193,6.3,0.6,6.9,57.74685001373291
4.7,24.4,0.0,0.6552887816136278,0.6552887816136278,42.3375,4.8025,4.889038781613627,4.5,0.0,6.9,57.74685001373291
6.8,22.0,0.33749999999999997,0.976855518086428,1.314355518086428,42.93749999999999,4.802380952380952,5.608105518086427,6.5,0.3,6.9,57.74685001373291
6.0,21.6,0.10000000000000002,1.0262061350646463,1.1262061350646464,39.6375,4.793181818181818,5.0899561350646465,5.4,0.2,6.3,57.74685001373291
6.1,20.7,0.0,1.0677755587975404,1.0677755587975404,42.0125,4.778985507246377,5.269025558797541,6.1,0.0,6.7,57.74685001373291
6.1,20.1,0.0,0.8622691161711101,0.8622691161711101,42.775,4.761805555555556,5.13976911617111,6.1,0.0,6.8,57.74685001373291
5.3,19.4,0.0,0.6572302126825819,0.6572302126825819,43.912499999999994,4.736,5.048480212682581,5.3,0.0,6.9,57.74685001373291
