local_queue,uav_queue,energy_user_pro,energy_user_off,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.925281047821045
12.6,0.0,12.612499999999999,2.8251081619810803,15.437608161981078,0.0,0.525,15.437608161981078,10.3,1.3,0.0,20.925281047821045
11.5,10.3,0.012500000000000002,2.451653985860414,2.4641539858604142,58.724999999999994,0.9555555555555557,3.0514039858604143,5.4,0.1,6.0,20.925281047821045
17.1,9.7,9.112499999999999,2.8962606410750373,12.008760641075035,43.975,1.275,12.448510641075035,8.7,0.9,6.2,20.925281047821045
22.8,12.2,12.5,4.533241654289134,17.033241654289135,39.137499999999996,1.6033333333333335,17.424616654289135,11.5,1.0,5.9,20.925281047821045
22.1,17.8,12.5,2.1513238133535153,14.651323813353516,32.875,1.890277777777778,14.980073813353515,6.4,1.0,6.2,20.925281047821045
26.0,18.0,25.0,3.2848115395194095,28.28481153951941,32.699999999999996,2.1440476190476194,28.611811539519408,10.0,2.0,6.0,20.925281047821045
27.2,22.0,12.5,2.8874410520720537,15.387441052072054,27.90000000000001,2.3885416666666663,15.666441052072054,6.8,1.0,6.0,20.925281047821045
31.0,22.8,25.0,3.8183508141153406,28.81835081411534,29.175,2.6212962962962965,29.11010081411534,9.7,2.0,6.0,20.925281047821045
29.2,26.5,12.5,1.7303170141295943,14.230317014129595,28.725,2.8233333333333333,14.517567014129595,4.7,1.0,6.0,20.925281047821045
37.1,25.2,25.0,5.168410311593894,30.168410311593895,26.762499999999996,3.038636363636363,30.436035311593894,12.9,2.0,5.9,20.925281047821045
36.9,32.2,25.0,2.981852217838489,27.98185221783849,26.7625,3.265277777777778,28.24947721783849,7.9,2.0,5.9,20.925281047821045
39.0,34.2,12.5,1.7694182813390313,14.269418281339032,29.4875,3.4833333333333334,14.564293281339031,6.5,1.0,6.1,20.925281047821045
45.7,34.6,12.5,4.533180907771631,17.03318090777163,27.450000000000003,3.712500000000001,17.30768090777163,10.7,1.0,6.0,20.925281047821045
46.9,39.3,12.5,3.932069911218071,16.432069911218072,31.074999999999996,3.943888888888889,16.74281991121807,7.9,1.0,6.2,20.925281047821045
48.5,41.0,0.0,2.9124135858284084,2.9124135858284084,27.90000000000001,4.163541666666666,3.1914135858284083,9.3,0.0,6.0,20.925281047821045
47.4,44.3,12.5,1.8755939859411628,14.375593985941162,27.737500000000004,4.368137254901961,14.652968985941161,4.1,1.0,5.9,20.925281047821045
