local_queue,uav_queue,energy_user,energy_uav,delay,weightedE,off_b,local_a,remote_c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,3.482866403847265,0.0,0.5125,3.482866403847265,7.7,0.2,0.0
6.3,7.7,2.654601840752662,53.6625,0.925,8.020851840752663,2.9,1.0,6.3
12.2,4.3,7.723980987341602,23.0625,1.209375,10.030230987341602,8.0,0.6,3.3
13.3,9.0,15.190386818250738,93.95,1.525,24.58538681825074,6.2,1.0,8.2
13.7,7.0,4.447714500254827,68.8125,1.7020833333333332,11.328964500254827,8.2,0.0,6.3
11.4,8.9,9.384842874830031,84.825,1.8214285714285716,17.86734287483003,6.2,1.4,7.8
11.1,7.3,4.92638861054249,94.88749999999997,1.88125,14.415138610542488,6.7,0.7,6.7
10.7,7.3,1.4300972731732966,97.75,1.922222222222222,11.205097273173298,5.5,0.0,6.8
14.1,6.0,5.739824545372656,50.28750000000001,1.98125,10.768574545372658,10.2,0.3,5.7
13.1,10.5,15.467056615630309,199.4375,2.069318181818182,35.41080661563031,6.0,1.2,9.1
13.8,7.4,12.266174844459625,67.5,2.1177083333333337,19.016174844459627,8.1,1.0,6.0
14.1,9.5,20.82747458707264,184.58749999999998,2.1817307692307697,39.28622458707264,6.3,1.8,9.1
13.8,6.7,19.83226513659029,58.3,2.2089285714285714,25.662265136590293,6.2,2.0,5.6
14.7,7.3,19.41754494299204,151.97500000000002,2.245,34.61504494299204,7.5,1.7,6.8
13.4,8.0,4.065828733296353,99.41250000000001,2.271875,14.007078733296355,6.7,0.2,6.9
15.7,7.8,25.8552308558577,104.50000000000001,2.311029411764706,36.3052308558577,8.3,1.9,7.4
14.7,8.7,15.91967957911566,106.41249999999998,2.345138888888889,26.56092957911566,8.2,1.0,7.7
12.4,9.2,11.500433094409093,127.48750000000001,2.3638157894736844,24.249183094409094,5.6,0.9,8.3
13.2,6.5,23.22953289837248,72.975,2.36875,30.52703289837248,8.0,1.8,6.0
11.6,8.5,3.1107948508781345,142.775,2.375595238095238,17.388294850878136,4.3,0.7,7.6
13.8,5.2,5.502533704027723,54.7875,2.375568181818182,10.981283704027724,8.5,0.5,5.1
15.2,8.6,4.670109356064689,184.41250000000002,2.4016304347826085,23.111359356064693,7.8,0.0,8.3
17.5,8.1,5.718723745761024,101.33749999999999,2.4348958333333335,15.852473745761024,9.0,0.1,7.3
16.8,9.8,5.514696041606787,209.9125,2.4705000000000004,26.505946041606787,8.4,0.4,9.5
14.6,8.7,2.611538202291529,173.56250000000003,2.4875000000000003,19.967788202291533,7.7,0.0,8.5
14.3,7.9,4.551516591915675,77.05000000000001,2.4981481481481485,12.256516591915677,6.5,0.3,7.4
15.8,7.0,4.040608818741253,108.4875,2.510714285714286,14.889358818741254,9.0,0.0,6.9
16.3,9.1,8.240982122944152,94.01250000000002,2.5336206896551725,17.642232122944154,10.8,0.9,8.7
9.3,11.2,0.7335992985114318,231.09999999999994,2.5345833333333334,23.84359929851143,1.9,0.4,10.4
16.5,2.7,7.542339811404272,27.5625,2.530241935483871,10.298589811404272,10.0,0.0,2.7
13.6,10.0,2.34082663490727,121.45000000000002,2.543359375,14.485826634907273,5.8,0.0,9.2
16.2,6.6,4.9674883795726945,70.9375,2.5526515151515152,12.061238379572695,10.0,0.0,6.5
11.3,10.1,3.843815249836554,125.7625,2.55625,16.420065249836554,6.8,1.0,9.5
12.4,7.4,4.5623237081051125,232.53750000000002,2.553928571428572,27.816073708105115,5.8,0.4,6.9
15.2,6.3,5.878363907676703,108.26249999999999,2.5576388888888895,16.704613907676702,7.7,0.0,5.7
18.1,8.3,6.791403783844597,114.28750000000002,2.5777027027027026,18.2201537838446,10.8,0.3,7.7
11.8,11.4,1.9296440352055468,243.38750000000005,2.5861842105263158,26.268394035205553,3.7,0.1,10.9
15.3,4.2,5.948609461767596,68.73750000000001,2.5823717948717952,12.822359461767597,8.8,0.0,3.9
15.1,9.1,9.061122814320289,147.125,2.5934375,23.77362281432029,10.5,1.0,8.8
12.1,10.8,1.1390940650098347,263.67499999999995,2.6000000000000005,27.506594065009832,4.5,0.2,10.6
16.8,4.7,6.249702107249333,43.862500000000004,2.6020833333333333,10.635952107249334,11.0,0.0,4.7
13.9,11.0,2.1076969177037816,154.83749999999998,2.613953488372093,17.59144691770378,5.5,0.0,10.5
16.1,6.0,5.564149595806721,67.05,2.617329545454546,12.26914959580672,10.1,0.0,6.0
15.7,10.1,3.2996786801330398,130.96249999999998,2.630833333333333,16.39592868013304,8.7,0.0,9.7
19.2,9.1,5.149939448188278,118.71249999999999,2.65054347826087,17.021189448188277,9.8,0.0,8.9
18.8,10.0,4.965103016986115,132.5,2.670744680851064,18.215103016986113,9.2,0.0,10.0
17.5,9.2,4.810024304480012,151.60000000000002,2.6846354166666666,19.970024304480017,8.1,0.0,9.2
17.5,8.1,4.679007173738003,118.3875,2.6951530612244894,16.517757173738005,9.7,0.0,8.1
14.4,9.7,3.731725620149529,109.46250000000002,2.7015000000000002,14.677975620149532,8.0,0.1,9.3
12.6,8.4,3.6624849972305595,113.54999999999997,2.7,15.017484997230557,6.7,0.4,8.4
12.7,6.7,3.718154020788473,70.53750000000001,2.6947115384615383,10.771904020788474,8.7,0.0,6.3
11.0,9.1,3.770080854168011,121.71249999999998,2.69127358490566,15.94133085416801,6.4,0.4,8.3
10.0,7.2,3.280856115968357,137.3375,2.6812499999999995,17.01460611596836,5.4,0.1,6.7
10.5,5.9,2.8467103926569424,86.37500000000001,2.6697727272727274,11.484210392656944,7.4,0.4,5.8
10.5,7.5,3.5115667776968507,91.03750000000001,2.6622767857142855,12.615316777696853,5.1,0.3,6.5
12.4,6.1,3.5160135286507193,136.3625,2.656140350877193,17.15226352865072,6.6,0.1,6.1
12.1,6.6,6.3727785912792845,89.08750000000002,2.6506465517241375,15.281528591279287,7.9,0.7,5.9
13.6,8.6,3.6697010175165468,176.025,2.652754237288136,21.27220101751655,8.2,0.2,8.4
13.8,8.4,3.7656571995068213,107.85,2.6547916666666667,14.550657199506821,7.5,0.2,7.8
13.5,8.1,7.2237825380736504,117.775,2.655532786885246,19.001282538073653,8.3,0.9,8.0
